Concatenate (EBS),Supplier,PO No  ( EBS ),PO ( EBS ) Delivery Date,MRR No. ( EBS ),MRR Date ( EBS ),MRR No. ( Fusion ),MRR Release Date,Invoice Number,Invoice Ref.
17940-627,KHAN PACKAGES,17940,2023-12-29,627,2023-12-18,814,2023-12-20,0,Not Submitted
17713-626,AN TRADERS,17713,2023-12-05,626,2023-12-12,813,2023-12-15,0,Not Submitted
17415-625,AN TRADERS,17415,2023-10-10,625,2023-12-11,0,2023-12-13,0,Not Submitted
17152-624,METAL & POLYMER INDUSTRIES (PVT) LIMITED,17152,2023-08-03,624,2023-12-11,811,2023-12-13,0,Not Submitted
17415-623,AN TRADERS,17415,2023-10-10,623,2023-12-09,810,2023-12-13,0,Not Submitted
17009-622,SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,17009,2023-08-20,622,2023-12-07,809,2023-12-11,0,Not Submitted
17009-621,SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,17009,2023-08-20,621,2023-12-07,808,2023-12-11,0,Not Submitted
17009-620,SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,17009,2023-08-20,620,2023-12-07,807,2023-12-11,0,Not Submitted
17152-619,METAL & POLYMER INDUSTRIES (PVT) LIMITED,17152,2023-08-03,619,2023-12-06,805,2023-12-11,0,Not Submitted
17613-618,IFTEKHAR INTERNATIONAL,17613,2023-10-25,618,2023-12-05,803,2023-12-06,0,Not Submitted
17613-616,IFTEKHAR INTERNATIONAL,17613,2023-10-25,616,2023-12-04,802,2023-12-05,0,Not Submitted
18102-6099,M/S. MUSAJI ADAM & SONS,18102,2023-11-29,6099,2023-12-22,10965,,0,Not Submitted
18102-6099,M/S. MUSAJI ADAM & SONS,18102,2023-11-29,6099,2023-12-22,10965,,0,Not Submitted
18004-6098,PAKISTAN OXYGEN LIMITED,18004,2023-11-24,6098,2023-12-22,10964,,0,Not Submitted
18090-6097,CORPORATE TRADERS,18090,2023-12-18,6097,2023-12-22,10963,,0,Not Submitted
18090-6097,CORPORATE TRADERS,18090,2023-12-18,6097,2023-12-22,10963,,0,Not Submitted
18090-6097,CORPORATE TRADERS,18090,2023-12-18,6097,2023-12-22,10963,,0,Not Submitted
18090-6097,CORPORATE TRADERS,18090,2023-12-18,6097,2023-12-22,10963,,0,Not Submitted
18090-6097,CORPORATE TRADERS,18090,2023-12-26,6097,2023-12-22,10963,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
17770-6095,JAVED CHEMICAL CORPORATION,17770,2023-10-14,6095,2023-12-21,10955,,0,Not Submitted
16772-6094,JAVED CHEMICAL CORPORATION,16772,2023-05-20,6094,2023-12-21,10954,,0,Not Submitted
17711-6093,JAVED CHEMICAL CORPORATION,17711,2023-10-14,6093,2023-12-21,10953,,0,Not Submitted
16912-6092,JAVED CHEMICAL CORPORATION,16912,2023-06-21,6092,2023-12-21,10952,,0,Not Submitted
16912-6092,JAVED CHEMICAL CORPORATION,16912,2023-06-21,6092,2023-12-21,10952,,0,Not Submitted
18029-6091,CHAWLA INDUSTRIES (PVT.) LTD.,18029,2023-11-02,6091,2023-12-21,10951,,0,Not Submitted
18088-6089,PAK GASES,18088,2023-12-22,6089,2023-12-21,10949,,0,Not Submitted
18088-6089,PAK GASES,18088,2023-12-22,6089,2023-12-21,10949,,0,Not Submitted
18087-6088,DELTA CONTROL AUTOMATION CO.,18087,2023-11-29,6088,2023-12-20,10946,,0,Not Submitted
17390-6087,NOOR & CO.,17390,2023-08-16,6087,2023-12-20,10942,,0,Not Submitted
17390-6087,NOOR & CO.,17390,2023-08-16,6087,2023-12-20,10942,,0,Not Submitted
18036-6086,PURIOTECH,18036,2023-10-16,6086,2023-12-19,10940,,0,Not Submitted
18036-6086,PURIOTECH,18036,2023-10-16,6086,2023-12-19,10940,,0,Not Submitted
17815-6085,PAKISTAN OXYGEN LIMITED,17815,2023-11-21,6085,2023-12-19,10939,,0,Not Submitted
18027-6083,KRS ASSOCIATES,18027,2023-12-12,6083,2023-12-18,10935,,0,Not Submitted
18027-6083,KRS ASSOCIATES,18027,2023-12-12,6083,2023-12-18,10935,,0,Not Submitted
18027-6083,KRS ASSOCIATES,18027,2023-12-12,6083,2023-12-18,10935,,0,Not Submitted
18032-6081,M/S. K.S ENTERPRISES,18032,2023-12-18,6081,2023-12-18,10931,,0,Not Submitted
17916-6080,PAPER N PLUS,17916,2023-05-25,6080,2023-12-18,10930,,0,Not Submitted
18060-6079,JAVED CHEMICAL CORPORATION,18060,2023-12-20,6079,2023-12-18,10929,,0,Not Submitted
17933-6077,KRS ASSOCIATES,17933,2023-12-07,6077,2023-12-15,10927,,0,Not Submitted
17933-6077,KRS ASSOCIATES,17933,2023-12-07,6077,2023-12-15,10927,,0,Not Submitted
17933-6077,KRS ASSOCIATES,17933,2023-12-07,6077,2023-12-15,10927,,0,Not Submitted
17933-6077,KRS ASSOCIATES,17933,2023-12-07,6077,2023-12-15,10927,,0,Not Submitted
17079-6076,PAK PACKAGES INDUSTRIES,17079,2023-07-28,6076,2023-12-15,10926,,0,Not Submitted
17815-6075,PAKISTAN OXYGEN LIMITED,17815,2023-11-21,6075,2023-12-14,10925,,0,Not Submitted
17815-6073,PAKISTAN OXYGEN LIMITED,17815,2023-11-21,6073,2023-12-14,10923,,0,Not Submitted
17569-607,"HENAN KANGDA PHARMACEUTICAL CO.,LTD",17569,2023-11-30,607,2023-11-17,806,2023-12-11,0,Not Submitted
17815-6069,PAKISTAN OXYGEN LIMITED,17815,2023-11-21,6069,2023-12-11,10913,,0,Not Submitted
16174-6068,JAVED CHEMICAL CORPORATION,16174,2022-11-22,6068,2023-12-11,10912,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-6067,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17981-6064,BLAZON INTERNATIONAL,17981,2023-10-16,6064,2023-12-08,10905,,0,Not Submitted
17548-6060,ZAUQ INTERNATIONAL,17548,2023-10-03,6060,2023-12-08,10901,,0,Not Submitted
17815-6059,PAKISTAN OXYGEN LIMITED,17815,2023-11-21,6059,2023-12-08,10900,,0,Not Submitted
17815-6058,PAKISTAN OXYGEN LIMITED,17815,2023-11-21,6058,2023-12-08,10899,,0,Not Submitted
17390-6056,NOOR & CO.,17390,2023-08-16,6056,2023-12-07,10896,,0,Not Submitted
17390-6056,NOOR & CO.,17390,2023-08-16,6056,2023-12-07,10896,,0,Not Submitted
17711-6051,JAVED CHEMICAL CORPORATION,17711,2023-10-14,6051,2023-12-05,10884,,0,Not Submitted
16231-6050,JAVED CHEMICAL CORPORATION,16231,2023-01-27,6050,2023-12-04,10882,,0,Not Submitted
14410-605,"SHANDONG PHARMACEUTICAL GLASS CO., LTD.",14410,2022-07-14,605,2023-11-10,791,2023-11-15,0,Not Submitted
17891-6049,PAKISTAN OXYGEN LIMITED,17891,2023-11-21,6049,2023-12-04,0,,0,Not Submitted
16358-602,ANHUI HUAFENG PHARMACEUTICAL RUBBER CO. LTD.,16358,2023-06-06,602,2023-11-08,788,2023-11-13,0,Not Submitted
17072-6000,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,2022-03-29,6000,2023-11-22,10820,,0,Not Submitted
17072-6000,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,2022-04-01,6000,2023-11-22,10820,,0,Not Submitted
17072-6000,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,2022-04-01,6000,2023-11-22,10820,,0,Not Submitted
17072-6000,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,2023-02-04,6000,2023-11-22,10820,,0,Not Submitted
17072-6000,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,2023-02-14,6000,2023-11-22,10820,,0,Not Submitted
17244-600,"HENAN KANGDA PHARMACEUTICAL CO.,LTD",17244,2023-09-10,600,2023-10-27,782,2023-11-03,0,Not Submitted
17666-5999,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,2022-04-01,5999,2023-11-22,10819,,0,Not Submitted
17666-5999,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,2023-02-04,5999,2023-11-22,10819,,0,Not Submitted
17666-5999,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,2023-02-04,5999,2023-11-22,10819,,0,Not Submitted
17666-5999,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,2023-10-14,5999,2023-11-22,10819,,0,Not Submitted
17666-5999,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,2023-10-14,5999,2023-11-22,10819,,0,Not Submitted
17244-599,"HENAN KANGDA PHARMACEUTICAL CO.,LTD",17244,2023-09-10,599,2023-10-27,781,2023-11-03,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-5983,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17634-5968,M/S. K.S ENTERPRISES,17634,2023-10-02,5968,2023-11-01,10766,,0,Not Submitted
17634-5968,M/S. K.S ENTERPRISES,17634,2023-10-02,5968,2023-11-01,0,,0,Not Submitted
17634-5968,M/S. K.S ENTERPRISES,17634,2023-10-02,5968,2023-11-01,10766,,0,Not Submitted
17634-5968,M/S. K.S ENTERPRISES,17634,2023-10-02,5968,2023-11-01,10766,,0,Not Submitted
17634-5968,M/S. K.S ENTERPRISES,17634,2023-10-26,5968,2023-11-01,10766,,0,Not Submitted
17634-5968,M/S. K.S ENTERPRISES,17634,2023-10-27,5968,2023-11-01,10766,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14450-5929,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14450,2022-03-02,5929,2023-10-17,10704,,0,Not Submitted
14453-5928,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14453,2022-03-03,5928,2023-10-17,10703,,0,Not Submitted
14454-5927,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14454,2022-03-03,5927,2023-10-17,10702,,0,Not Submitted
14454-5927,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14454,2022-03-03,5927,2023-10-17,10702,,0,Not Submitted
14455-5926,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14455,2022-03-03,5926,2023-10-17,10701,,0,Not Submitted
14558-5925,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14558,2022-03-22,5925,2023-10-17,10700,,0,Not Submitted
14457-5924,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14457,2022-03-03,5924,2023-10-17,10699,,0,Not Submitted
14624-5923,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14624,2022-04-15,5923,2023-10-17,10698,,0,Not Submitted
14624-5923,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14624,2022-04-15,5923,2023-10-17,10698,,0,Not Submitted
