Concatenate (Fusion),Supplier,PO No  ( EBS ),PO ( EBS ) Delivery Date,MRR No. ( EBS ),MRR Date ( EBS ),MRR No. ( Fusion ),MRR Release Date,Invoice Number,Invoice Ref.
16772-10954,JAVED CHEMICAL CORPORATION,16772,2023-05-20,6094,2023-12-21,10954,,0,Not Submitted
17711-10953,JAVED CHEMICAL CORPORATION,17711,2023-10-14,6093,2023-12-21,10953,,0,Not Submitted
16912-10952,JAVED CHEMICAL CORPORATION,16912,2023-06-21,6092,2023-12-21,10952,,0,Not Submitted
16912-10952,JAVED CHEMICAL CORPORATION,16912,2023-06-21,6092,2023-12-21,10952,,0,Not Submitted
18029-10951,CHAWLA INDUSTRIES (PVT.) LTD.,18029,2023-11-02,6091,2023-12-21,10951,,0,Not Submitted
2779-1101,Muhammad Raza,2779,2018-09-17,609,2018-10-04,1101,,0,Not Submitted
18088-10949,PAK GASES,18088,2023-12-22,6089,2023-12-21,10949,,0,Not Submitted
18088-10949,PAK GASES,18088,2023-12-22,6089,2023-12-21,10949,,0,Not Submitted
18087-10946,DELTA CONTROL AUTOMATION CO.,18087,2023-11-29,6088,2023-12-20,10946,,0,Not Submitted
17390-10942,NOOR & CO.,17390,2023-08-16,6087,2023-12-20,10942,,0,Not Submitted
17390-10942,NOOR & CO.,17390,2023-08-16,6087,2023-12-20,10942,,0,Not Submitted
18036-10940,PURIOTECH,18036,2023-10-16,6086,2023-12-19,10940,,0,Not Submitted
18036-10940,PURIOTECH,18036,2023-10-16,6086,2023-12-19,10940,,0,Not Submitted
17815-10939,PAKISTAN OXYGEN LIMITED,17815,2023-11-21,6085,2023-12-19,10939,,0,Not Submitted
18027-10935,KRS ASSOCIATES,18027,2023-12-12,6083,2023-12-18,10935,,0,Not Submitted
18027-10935,KRS ASSOCIATES,18027,2023-12-12,6083,2023-12-18,10935,,0,Not Submitted
18027-10935,KRS ASSOCIATES,18027,2023-12-12,6083,2023-12-18,10935,,0,Not Submitted
18032-10931,M/S. K.S ENTERPRISES,18032,2023-12-18,6081,2023-12-18,10931,,0,Not Submitted
17916-10930,PAPER N PLUS,17916,2023-05-25,6080,2023-12-18,10930,,0,Not Submitted
18060-10929,JAVED CHEMICAL CORPORATION,18060,2023-12-20,6079,2023-12-18,10929,,0,Not Submitted
17933-10927,KRS ASSOCIATES,17933,2023-12-07,6077,2023-12-15,10927,,0,Not Submitted
17933-10927,KRS ASSOCIATES,17933,2023-12-07,6077,2023-12-15,10927,,0,Not Submitted
17933-10927,KRS ASSOCIATES,17933,2023-12-07,6077,2023-12-15,10927,,0,Not Submitted
17933-10927,KRS ASSOCIATES,17933,2023-12-07,6077,2023-12-15,10927,,0,Not Submitted
17079-10926,PAK PACKAGES INDUSTRIES,17079,2023-07-28,6076,2023-12-15,10926,,0,Not Submitted
17815-10925,PAKISTAN OXYGEN LIMITED,17815,2023-11-21,6075,2023-12-14,10925,,0,Not Submitted
17815-10923,PAKISTAN OXYGEN LIMITED,17815,2023-11-21,6073,2023-12-14,10923,,0,Not Submitted
17569-806,"HENAN KANGDA PHARMACEUTICAL CO.,LTD",17569,2023-11-30,607,2023-11-17,806,2023-12-11,0,Not Submitted
17815-10913,PAKISTAN OXYGEN LIMITED,17815,2023-11-21,6069,2023-12-11,10913,,0,Not Submitted
16174-10912,JAVED CHEMICAL CORPORATION,16174,2022-11-22,6068,2023-12-11,10912,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
