Concatenate (Fusion),Concatenate (EBS),S. No.,Supplier Name,Purchase Order No,EBS No,Fusion Receipt No,Invoice Ref.
5369-4144,5369-4416,5250,Khan Packages ,5369,4416,4144,1092
6224-4090,6224-4400,5251,Khan Packages ,6224,4400,4090,1090
5324-4086,5324-4390,5252,Khan Packages ,5324,4390,4086,1088
6493-4091,6493-4407,5253,Khan Packages ,6493,4407,4091,1091
6178-4088,6178-4395,5254,Khan Packages ,6178,4395,4088,1089
5752-4087,5752-4391,5255,Khan Packages ,5752,4391,4087,1088
6443-,6443-4419,5256,SWS Pvt Ltd,6443,4419,,1944/10/2019
5073-3380,5073-1934,5257,New white Flower Garments,5073,1934,3380,331
5073-3175,5073-1795,5258,New white Flower Garments,5073,1795,3175,329
6091-3445,6091-1967,5259,New white Flower Garments,6091,1967,3445,332
6383-3367,6383-1927,5260,Superline Marketing ,6383,1927,3367,INV-861-19/20
6315-1402,6315-1360,5261,Imran Engineering,6315,1360,1402,155
5198-3417,5198-1946,5262,Kamtec International,5198,1946,3417,5141
5972-1381,5972-1348,5263,Zain Lighting,5972,1348,1381,175
6257-3387,6257-,5264,Wadittar Engineering ,6257,,3387,1737
5697-3390,5697-,5265,Wadittar Engineering ,5697,,3390,1739
6256-3389,6256-,5266,Wadittar Engineering ,6256,,3389,1732
6258-3388,6258-,5267,Wadittar Engineering ,6258,,3388,1738
5529-1375,5529-1342,5268,Wadittar Engineering ,5529,1342,1375,1734
5529-1376,5529-1343,5269,Wadittar Engineering ,5529,1343,1376,1734
6259-1377,6259-1344,5270,Wadittar Engineering ,6259,1344,1377,1735
5596-1378,5596-1345,5271,Wadittar Engineering ,5596,1345,1378,1736
6481-1365,6481-1329,5272,Wadittar Engineering ,6481,1329,1365,1733
6481-1366,6481-1330,5273,Wadittar Engineering ,6481,1330,1366,1733
4739-3349,4739-,5274,Techno Energy system,4739,,3349,0057
6409-3429,6409-,5275,Muhammad Ahsan Contractor,6409,,3429,6409-73
5930-3415,5930-,5276,High tech Engineering Services,5930,,3415,
6393-3416,6393-,5277,High tech Engineering Services,6393,,3416,
6479-3414,6479-,5278,High tech Engineering Services,6479,,3414,
4686-3424,4686-,5279,High tech Engineering Services,4686,,3424,
6471-3423,6471-,5280,Wadittar Engineering ,6471,,3423,
5962-1360,5962-1328,5281,Sh.Wilayat Ahmed & Sons,5962,1328,1360,1136
5962-1444,5962-1328,5282,Sh.Wilayat Ahmed & Sons,5962,1328,1444,1136
6062-3426,6062-1952,5283,Maxim Pakistan ,6062,1952,3426,MXP769/11
6548-1439,6548-1396,5284,PACE Engineering,6548,1396,1439,1654-G
6439-3465,6439-,5285,Transworld,6439,,3465,Inv-58227-N4p0w5
5746-4172,5746-4461,5286,Metier Plastic,5746,4461,4172,19200126
6528-,6528-4459,5287,Metier Plastic,6528,4459,,19200127
6528-,6528-4453,5288,Metier Plastic,6528,4453,,19200125
2592-,2592-4444,5289,Metier Plastic,2592,4444,,19200124
6441-3443,6441-1965,5290,Metier Impressions,6441,1965,3443,19200261
6214-,6214-4456,5291,Metier Impressions,6214,4456,,19200262
6010-,6010-4458,5292,Metier Impressions,6010,4458,,19200263
6391-,6391-4460,5293,Metier Impressions,6391,4460,,19200264
6423-3325,6423-1896,5294,Printec,6423,1896,3325,Sinv-1019-04
6423-3316,6423-1887,5295,Printec,6423,1887,3316,Sinv-1019-01
5752-4148,5752-4424,5296,Khan Packages ,5752,4424,4148,1093
5024-4149,5024-4430,5297,IDEAPAC,5024,4430,4149,25
6490-,6490-4457,5298,Metier Ampoule ,6490,4457,,19200041
5368-4235,5368-4452,5299,IDEAPAC,5368,4452,4235,26
6206-,6206-4443,5300,National Trading,6206,4443,,1
4944-3979,4944-4300,5301,Khan Packages ,4944,4300,3979,1079
6554-1441,6554-1398,5302,Naseer Autos,6554,1398,1441,1900/12499
5713-,5713-1414,5303,Honda South Motors,5713,1414,,"144735,144995,145341,145374,"
6535-3472,6535-,5304,Honda South Motors,6535,,3472,148469
6535-,6535-1399,5305,Honda South Motors,6535,1399,,148468
6533-,6533-3475,5306,Honda Shahrah-E-Faisal,6533,3475,,52734
6533-3473,6533-,5307,Honda Shahrah-E-Faisal,6533,,3473,62732
6533-1457,6533-1413,5308,Honda Shahrah-E-Faisal,6533,1413,1457,53111
5728-4194,5728-4466,5309,Ghani Glass,5728,4466,4194,PH22011000425
6535-,6535-1399,5310,Honda South Motors,6535,1399,,148735
5482-,5482-1392,5311,Honda South Motors,5482,1392,,144050
6552-1440,6552-1397,5312,Defence Battery ,6552,1397,1440,6916
6002-3441,6002-1963,5313,Javed Chemical ,6002,1963,3441,21510
4556-3308,4556-1881,5314,Javed Chemical ,4556,1881,3308,21484
6028-,6028-4445,5315,MAK-kemikal,6028,4445,,3021
6401-4241,6401-4464,5316,Sogo Corporation ,6401,4464,4241,SC-105113
5617-,5617-90,5317,Matiari Sugar,5617,90,,324/2019-2020
6445-4306,6445-4585,5318,Mansoor Chem,6445,4585,4306,417
6142-,6142-4468,5319,Sogo Corporation ,6142,4468,,SC-105114
6432-4093,6432-4408,5320,Reborn,6432,4408,4093,160
6447-4167,6447-4448,5321,Ahmed chemical,6447,4448,4167,1288
6447-4166,6447-4447,5322,Ahmed chemical,6447,4447,4166,1288
6447-4165,6447-4446,5323,Ahmed chemical,6447,4446,4165,1288
6006-,6006-4465,5324,United tubes,6006,4465,,24349
6006-,6006-4450,5325,United tubes,6006,4450,,24338
6441-3479,6441-1983,5326,Metier Impressions,6441,1983,3479,19200265
5783-3697,5783-3989,5327,Metier Impressions,5783,3989,3697,19200129
3808-3960,3808-3988,5328,Metier Impressions,3808,3988,3960,19200128
6391-,6391-4471,5329,Metier Impressions,6391,4471,,19200266
4687-3476,4687-1981,5330,Javed Steel Works,4687,1981,3476,523
5563-1430,5563-1387,5331,Universal Engineering,5563,1387,1430,28764
5861-1396,5861-1354,5332,Business Links International,5861,1354,1396,786-041119-P-044
5235-3489,5235-1989,5333,Wadittar Engineering ,5235,1989,3489,1753
6485-1344,6485-1311,5334,Burhani Automation,6485,1311,1344,113
6374-1434,6374-1391,5335,Wadittar Engineering ,6374,1391,1434,1746
5907-3433,5907-,5336,A. G. Associates,5907,,3433,3074
5130-1399,5130-1357,5337,A. G. Associates,5130,1357,1399,3007
5130-3432,5130-,5338,A. G. Associates,5130,,3432,3007
5947-1392,5947-1350,5339,Arsalan Engineering,5947,1350,1392,085
5590-1437,5590-1394,5340,Ammar Electric,5590,1394,1437,2444
5973-1406,5973-1364,5341,Wadittar Engineering ,5973,1364,1406,1750
5604-1408,5604-1366,5342,Wadittar Engineering ,5604,1366,1408,1749
5292-3431,5292-,5343,Orient Rental Modarba,5292,,3431,RSRB1911035
6553-3454,6553-1973,5344,Superline Marketing ,6553,1973,3454,INV-919-19/20
6013-3411,6013-1944,5345,Superline Marketing ,6013,1944,3411,INV-868-19/20
6244-3412,6244-1945,5346,Superline Marketing ,6244,1945,3412,INV-869-19/20
6041-3497,6041-,5347,Ghulam Muhammad Sons,6041,,3497,0283
5746-,5746-4477,5348,Metier Plastic,5746,4477,,19200130
6671-,6671-,5349,Transworld,6671,,,Inv-59600-K3M3W2
6235-3530,6235-2015,5350,Health factory international,6235,2015,3530,197971
6235-3530,6235-2015,5351,Health factory international,6235,2015,3530,197975
6235-3530,6235-2015,5352,Health factory international,6235,2015,3530,198211
6462-3529,6462-2014,5353,Health factory international,6462,2014,3529,199149
6462-3529,6462-2014,5354,Health factory international,6462,2014,3529,199524
6462-3529,6462-2014,5355,Health factory international,6462,2014,3529,199427
6435-,6435-4501,5356,Aman Enterprise,6435,4501,,538
5307-,5307-,5357,TOYOTA Southern,5307,,,455659
6384-3434,6384-1956,5358,Tanvir Packages,6384,1956,3434,995
5746-4123,5746-4504,5359,Metier Plastic,5746,4504,4123,19200137
5746-,5746-4480,5360,Metier Plastic,5746,4480,,19200131
5746-4180,5746-4482,5361,Metier Plastic,5746,4482,4180,19200132
5746-4120,5746-4488,5362,Metier Plastic,5746,4488,4120,19200133
6176-,6176-4492,5363,Metier Plastic,6176,4492,,19200134
5746-4493,5746-4121,5364,Metier Plastic,5746,4121,4493,19200135
6176-,6176-4491,5365,Metier Plastic,6176,4491,,19200136
5746-,5746-4509,5366,Metier Plastic,5746,4509,,19200138
6391-,6391-4483,5367,Metier Impressions,6391,4483,,19200267
5782-4216,5782-4494,5368,Metier Impressions,5782,4494,4216,19200268
6174-4217,6174-4495,5369,Metier Impressions,6174,4495,4217,19200269
6010-,6010-4505,5370,Metier Impressions,6010,4505,,19200270
6712-,6712-1441,5371,Naseer Autos,6712,1441,,1900/13314
6718-1485,6718-1440,5372,Honda Shahrah-E-Faisal,6718,1440,1485,62732
6743-1483,6743-1438,5373,M.A. International & Co,6743,1438,1483,2259
6747-1484,6747-1439,5374,Honda South Motors,6747,1439,1484,149356
6542-3573,6542-2035,5375,Asad Water,6542,2035,3573,6542
5081-2668,5081-,5376,Urba Marker,5081,,2668,BR1812
6741-3537,6741-,5377,Eco Services,6741,,3537,983
6707-3551,6707-,5378,Toyota Creek ,6707,,3551,invCo027145
6423-3543,6423-2022,5379,Printec,6423,2022,3543,Sinv-1119-03
6710-,6710-1445,5380,New Zafcom Tyres Company,6710,1445,,294
6600-,6600-4514,5381,Metier Plastic,6600,4514,,19200140
5746-4129,5746-4513,5382,Metier Plastic,5746,4513,4129,19200139
6174-4219,6174-4511,5383,Metier Impressions,6174,4511,4219,19200271
5746-,5746-4523,5384,Metier Plastic,5746,4523,,19200141
6176-4260,6176-4524,5385,Metier Plastic,6176,4524,4260,19200142
6391-,6391-4515,5386,Metier Impressions,6391,4515,,19200272
6391-,6391-4516,5387,Metier Impressions,6391,4516,,19200273
6594-,6594-4517,5388,Metier Impressions,6594,4517,,19200274
6538-,6538-4518,5389,Metier Impressions,6538,4518,,19200275
5542-4256,5542-4519,5390,Metier Impressions,5542,4519,4256,19200276
6174-4221,6174-4520,5391,Metier Impressions,6174,4520,4221,19200277
5841-,5841-4521,5392,Metier Impressions,5841,4521,,19200278
6538-,6538-4522,5393,Metier Impressions,6538,4522,,19200279
6676-,6676-4506,5394,MAK-kemikal,6676,4506,,BMK-1914
6472-3519,6472-2010,5395,Javed Chemical ,6472,2010,3519,21543
6652-3510,6652-2004,5396,Javed Chemical ,6652,2004,3510,21538
6505-3601,6505-2041,5397,Superline Marketing ,6505,2041,3601,INV-980-19/20
6505-3359,6505-1923,5398,Superline Marketing ,6505,1923,3359,INV-877-19/20
1397-3491,1397-1991,5399,Syed Enterprise,1397,1991,3491,392
1397-3490,1397-1990,5400,Syed Enterprise,1397,1990,3490,392
1397-3534,1397-2017,5401,Syed Enterprise,1397,2017,3534,392
5942-3559,5942-2029,5402,Micro Scientific Co.,5942,2029,3559,13380
5833-3531,5833-2016,5403,Micro Scientific Co.,5833,2016,3531,13376
5942-3515,5942-2008,5404,Micro Scientific Co.,5942,2008,3515,13373
6355-3513,6355-2007,5405,Micro Scientific Co.,6355,2007,3513,13388
6829-3553,6829-2024,5406,Muslim Trading Agencies,6829,2024,3553,MTA/1911034
6728-3552,6728-,5407,Unus Engineering,6728,,3552,INV-2005-UE
6728-1491,6728-,5408,Unus Engineering,6728,,1491,INV-2005-UE
4923-3502,4923-,5409,Unus Engineering,4923,,3502,INV-2000-UE
6739-3545,6739-,5410,Wadittar Engineering ,6739,,3545,1756
6506-3438,6506-1960,5411,M.A Printer,6506,1960,3438,082
6460-1431,6460-1388,5412,Sh.Wilayat Ahmed & Sons,6460,1388,1431,1205
6460-1403,6460-1361,5413,Sh.Wilayat Ahmed & Sons,6460,1361,1403,1189
6694-1473,6694-1429,5414,Imran Engineering,6694,1429,1473,158
5141-3469,5141-1978,5415,Syed Enterprise,5141,1978,3469,390
6536-3442,6536-1964,5416,Syed Enterprise,6536,1964,3442,387
3707-3485,3707-1987,5417,Syed Enterprise,3707,1987,3485,388
5439-,5439-,5418,M.S Engineering,5439,,,
5556-,5556-,5419,M.S Engineering,5556,,,
5434-,5434-,5420,M.S Engineering,5434,,,S-000024
6090-1464,6090-1420,5421,Syscom International,6090,1420,1464,182
4880-3503,4880-,5422,New Tech Service,4880,,3503,NTS/126/19-BPPL
6096-,6096-,5423,Karimi Electromech,6096,,,C-01
6561-3506,6561-2000,5424,Industrad,6561,2000,3506,ST/11/1278
6503-3504,6503-1998,5425,Industrad,6503,1998,3504,ST/11/1277
6211-3313,6211-1884,5426,Asian Arts,6211,1884,3313,672
6299-1468,6299-1424,5427,Akhlaq Enterprises,6299,1424,1468,151
6746-1487,6746-1442,5428,HeatTech,6746,1442,1487,243
5609-1482,5609-1437,5429,High-Tech Engineering Services,5609,1437,1482,NIL-20-11-2019
3724-1436,3724-1393,5430,Advance Engineering Group,3724,1393,1436,2558
6169-1471,6169-1427,5431,Paradise Engineering,6169,1427,1471,005
6470-3499,6470-1996,5432,Paradise Engineering,6470,1996,3499,007
6168-3498,6168-1995,5433,Paradise Engineering,6168,1995,3498,006
5968-1470,5968-1426,5434,Paradise Engineering,5968,1426,1470,004
6745-1508,6745-1456,5435,The Scientific Corporation,6745,1456,1508,KH-00008
6248-3362,6248-1926,5436,Pakistan Oxygen ,6248,1926,3362,371553499
6248-3584,6248-,5437,Pakistan Oxygen ,6248,,3584,371553499
6248-3425,6248-1951,5438,Pakistan Oxygen ,6248,1951,3425,371553501
6248-3585,6248-,5439,Pakistan Oxygen ,6248,,3585,371553501
6248-3586,6248-1914,5440,Pakistan Oxygen ,6248,1914,3586,371553498
6248-3583,6248-,5441,Pakistan Oxygen ,6248,,3583,371553498
5376-3363,5376-1922,5442,Pakistan Oxygen ,5376,1922,3363,371553500
5376-3581,5376-,5443,Pakistan Oxygen ,5376,,3581,371553500
5376-3358,5376-1921,5444,Pakistan Oxygen ,5376,1921,3358,371550383
5376-3580,5376-,5445,Pakistan Oxygen ,5376,,3580,371550383
5376-3427,5376-1953,5446,Pakistan Oxygen ,5376,1953,3427,371553502
5376-3582,5376-,5447,Pakistan Oxygen ,5376,,3582,371553502
5494-3546,5494-,5448,Multinet,5494,,3546,302037
5494-3547,5494-,5449,Multinet,5494,,3547,302033
5494-3548,5494-,5450,Multinet,5494,,3548,302034
5494-3549,5494-,5451,Multinet,5494,,3549,302035
5494-3550,5494-,5452,Multinet,5494,,3550,302036
6443-,6443-4507,5453,SWS Pvt Ltd,6443,4507,,1969/11/2019
6600-,6600-4529,5454,Metier Plastic,6600,4529,,19200143
5746-,5746-4530,5455,Metier Plastic,5746,4530,,19200144
6174-4265,6174-4532,5456,Metier Plastic,6174,4532,4265,19200280
5746-,5746-4536,5457,Metier Plastic,5746,4536,,19200145
6174-410,6174-271,5458,Metier Impressions,6174,271,410,19200282
6347-4224,6347-4541,5459,Metier Impressions,6347,4541,4224,19200283
6524-4264,6524-4531,5460,Metier Impressions,6524,4531,4264,19200281
6752-3592,6752-2042,5461,Arabian Gasoline,6752,2042,3592,NOV/2019/25
5647-,5647-4542,5462,Alpine chemical Solutions,5647,4542,,ACS/SI/11/007
5728-4201,5728-4512,5463,Ghani Glass,5728,4512,4201,PH22011001438
6707-1489,6707-1444,5464,Toyota Creek ,6707,1444,1489,"invCo027145,27566"
5309-3555,5309-,5465,Eco Services,5309,,3555,415
6463-3540,6463-,5466,Eco Services,6463,,3540,716
6230-,6230-,5467,Asad Water,6230,,,6230
5310-3538,5310-,5468,Urba Marker,5310,,3538,BR1902
6030-4161,6030-4442,5469,A.M Yousuf,6030,4442,4161,AMY/800
5746-,5746-4544,5470,Metier Plastic,5746,4544,,19200146
5535-3599,5535-2047,5471,Metier Impressions,5535,2047,3599,19200286
5764-3598,5764-2046,5472,Metier Impressions,5764,2046,3598,19200285
6524-,6524-4543,5473,Metier Impressions,6524,4543,,19200284
1387-3437,1387-1959,5474,FS&R (PVT.) LIMITED,1387,1959,3437,1076
1387-3544,1387-2023,5475,FS&R (PVT.) LIMITED,1387,2023,3544,1076
1387-3575,1387-2037,5476,FS&R (PVT.) LIMITED,1387,2037,3575,1076
6837-3574,6837-2036,5477,Sayeed International,6837,2036,3574,IN035438
6669-3603,6669-,5478,Wadittar Engineering ,6669,,3603,1763
5961-3602,5961-,5479,Wadittar Engineering ,5961,,3602,1764
5696-1509,5696-1457,5480,Wadittar Engineering ,5696,1457,1509,1762
5391-1454,5391-1410,5481,NASIR SIDDIQ BROTHERS,5391,1410,1454,000835
5603-1438,5603-1395,5482,NASIR SIDDIQ BROTHERS,5603,1395,1438,000833
6527-3617,6527-2050,5483,Technoman (Pvt.) Ltd.,6527,2050,3617,N2290/AD
5050-3494,5050-1993,5484,Pak Gases,5050,1993,3494,2597
5050-3332,5050-1898,5485,Pak Gases,5050,1898,3332,2591
4795-3456,4795-1974,5486,Pak Gases,4795,1974,3456,2596
5610-3613,5610-,5487,A. G. Associates,5610,,3613,3055
5610-1520,5610-1465,5488,A. G. Associates,5610,1465,1520,3055
6646-1522,6646-1467,5489,A. G. Associates,6646,1467,1522,3088
6648-1521,6648-1466,5490,A. G. Associates,6648,1466,1521,3057
6567-1500,6567-1454,5491,Sh.Wilayat Ahmed & Sons,6567,1454,1500,1388
6698-1495,6698-1449,5492,Syscom International,6698,1449,1495,187
6733-1494,6733-1448,5493,Tariq Automation,6733,1448,1494,989
6372-1517,6372-1462,5494,Karimi Electromech,6372,1462,1517,514
6195-1523,6195-1468,5495,Karimi Electromech,6195,1468,1523,518
5712-1533,5712-1478,5496,Defence Battery ,5712,1478,1533,5703.5700.5701.5578.5721.5722.5723.5724.5727.5728.5729.5730
5318-1532,5318-1477,5497,Defence Battery ,5318,1477,1532,4792.4760.4742.4772.4791
6715-1531,6715-1476,5498,Defence Battery ,6715,1476,1531,6932
5641-3620,5641-2051,5499,Nasir oil traders,5641,2051,3620,1100
6465-3533,6465-,5500,Toyta Southern ,6465,,3533,463328
6466-1529,6466-1474,5501,New Zafcom Tyres Company,6466,1474,1529,7877
5637-1527,5637-1472,5502,Defence Battery ,5637,1472,1527,5637
5312-1530,5312-1475,5503,Defence Battery ,5312,1475,1530,4447
6464-1535,6464-1480,5504,Honda South,6464,1480,1535,147518
5642-1534,5642-1479,5505,Honda South,5642,1479,1534,144195
5494-3626,5494-,5506,Multinet,5494,,3626,359385
5380-3621,5380-,5507,Supernet,5380,,3621,2019/12/0183-001
6279-,6279-4548,5508,United tubes,6279,4548,,24381
6391-4156,6391-4437,5509,Metier Impressions,6391,4437,4156,19200259
6277-3636,6277-,5510,Pronet (Pvt.) Ltd.,6277,,3636,INV-190817-002-BROOKES
6277-3636,6277-,5511,Pronet (Pvt.) Ltd.,6277,,3636,INV-190817-001-BROOKES
6277-3636,6277-,5512,Pronet (Pvt.) Ltd.,6277,,3636,INV-190816-BROOKES
6897-3639,6897-,5513,Urba Marker,6897,,3639,BR1904
6896-3638,6896-,5514,Urba Marker,6896,,3638,Br1903
6895-3640,6895-,5515,Eco Services,6895,,3640,1092
6649-,6649-4557,5516,Metier Impressions,6649,4557,,19200287
6530-,6530-272,5517,Metier Impressions,6530,272,,19200288
6538-,6538-4555,5518,Metier Impressions,6538,4555,,19200289
5746-,5746-4559,5519,Metier Plastic,5746,4559,,19200149
5746-,5746-4556,5520,Metier Plastic,5746,4556,,19200148
5746-,5746-4550,5521,Metier Plastic,5746,4550,,19200147
4884-4080,4884-3672,5522,Iftekhar International,4884,3672,4080,P/006
6787-,6787-,5523,Nestle Pakistan Ltd,6787,,,M-228856
6851-3656,6851-,5524,Abdul Hadi Computers,6851,,3656,BP-66
6752-3654,6752-2067,5525,Arabian Gasoline,6752,2067,3654,Dec/2019/02
6784-3645,6784-2061,5526,Asad Water,6784,2061,3645,6784
6744-3651,6744-2066,5527,Nisar oil traders,6744,2066,3651,"111,111,121,113"
5647-4193,5647-4542,5528,Alpine chemical Solutions,5647,4542,4193,ACS/SI/11/007
6551-3600,6551-2048,5529,Khan Packages ,6551,2048,3600,1116
6758-,6758-4562,5530,Khan Packages ,6758,4562,,1118
6758-,6758-4563,5531,Khan Packages ,6758,4563,,1117
2165-4119,2165-4490,5532,Khan Packages ,2165,4490,4119,1109
2165-4184,2165-4498,5533,Khan Packages ,2165,4498,4184,1111
5369-4353,5369-4497,5534,Khan Packages ,5369,4497,4353,1110
6758-,6758-4525,5535,Khan Packages ,6758,4525,,1112
2165-4276,2165-4547,5536,Khan Packages ,2165,4547,4276,1115
6758-,6758-4546,5537,Khan Packages ,6758,4546,,1114
5752-4274,5752-4545,5538,Khan Packages ,5752,4545,4274,1113
5853-4250,5853-4486,5539,Khan Packages ,5853,4486,4250,1107
5752-4249,5752-4485,5540,Khan Packages ,5752,4485,4249,1106
6255-4181,6255-4484,5541,Khan Packages ,6255,4484,4181,1105
6255-4118,6255-4478,5542,Khan Packages ,6255,4478,4118,1104
6399-,6399-4476,5543,Khan Packages ,6399,4476,,1102
5752-4245,5752-4475,5544,Khan Packages ,5752,4475,4245,1101
6178-4170,6178-4455,5545,Khan Packages ,6178,4455,4170,1099
5752-4152,5752-4433,5546,Khan Packages ,5752,4433,4152,1097
6508-3662,6508-2073,5547,Integrated Bioscienes,6508,2073,3662,2572
6857-,6857-4566,5548,Maya Corporation,6857,4566,,6405
5746-4304,5746-4583,5549,Metier Plastic,5746,4583,4304,19200152
5746-,5746-4569,5550,Metier Plastic,5746,4569,,19200151
5746-,5746-4568,5551,Metier Plastic,5746,4568,,19200150
3355-3251,3355-1840,5552,Javed Chemical ,3355,1840,3251,21570
6888-4208,6888-4560,5553,Javed Chemical ,6888,4560,4208,21572
6537-,6537-100,5554,Javed Chemical ,6537,100,,21571
6440-3596,6440-2044,5555,Javed Chemical ,6440,2044,3596,21564
5368-3597,5368-2045,5556,Javed Chemical ,5368,2045,3597,21565
6183-4291,6183-4567,5557,Ghani Glass,6183,4567,4291,Ph22011002363
6176-4308,6176-4588,5558,Metier Plastic,6176,4588,4308,19200153
5418-,5418-4589,5559,Metier Plastic,5418,4589,,19200154
6176-4314,6176-4595,5560,Metier Plastic,6176,4595,4314,19200156
5746-,5746-4596,5561,Metier Plastic,5746,4596,,19200157
5746-,5746-4590,5562,Metier Plastic,5746,4590,,19200155
6795-1519,6795-1464,5563,Lubritech Trading Company,6795,1464,1519,3425
6305-1543,6305-1488,5564,Syscom International,6305,1488,1543,195
6504-3568,6504-2031,5565,Atique Traders,6504,2031,3568,INV-46257
6791-1575,6791-1520,5566,Business Links International,6791,1520,1575,786-INV-P-01009-1
6502-3681,6502-2079,5567,Business Links International,6502,2079,3681,160875
5414-3686,5414-,5568,JES Instrumentation & Controls,5414,,3686,032/SST
6981-1577,6981-1522,5569,New Tech system,6981,1522,1577,NTS/301/19-BPPL
6326-3637,6326-,5570,New Tech Service,6326,,3637,NTS/136/19-BPPL
6658-1538,6658-1483,5571,New Tech system,6658,1483,1538,NTS/265/19-BPPL
6096-1578,6096-1523,5572,Karimi Electromech,6096,1523,1578,519
4926-3680,4926-,5573,Business Consortium,4926,,3680,0002/2018-19
6366-1568,6366-1513,5574,A. G. Associates,6366,1513,1568,3086
6366-3678,6366-,5575,A. G. Associates,6366,,3678,3086
6804-3677,6804-,5576,Wadittar Engineering ,6804,,3677,770
6647-1572,6647-1517,5577,A. G. Associates,6647,1517,1572,3089
6647-3675,6647-,5578,A. G. Associates,6647,,3675,3089
6469-3674,6469-,5579,Techno Energy system,6469,,3674,
5398-3670,5398-,5580,IZEE Tech Engineering,5398,,3670,485
5398-3671,5398-,5581,IZEE Tech Engineering,5398,,3671,485
5398-3669,5398-,5582,IZEE Tech Engineering,5398,,3669,446
6699-3672,6699-,5583,High-Tech Engineering Services,6699,,3672,
6884-1573,6884-1518,5584,A. G. Associates,6884,1518,1573,3094
6193-1570,6193-1515,5585,Zahir Engineering Co.,6193,1515,1570,66/Brookes
6505-3631,6505-2054,5586,Superline Marketing ,6505,2054,3631,INV-1062-19/20
6922-3733,6922-2097,5587,Ganj Buksh Books,6922,2097,3733,311
6780-3665,6780-,5588,Industrial Links International,6780,,3665,ILI-BILL/BPL-26/19
6903-3666,6903-,5589,Industrial Links International,6903,,3666,ILI-BILL/BPL-25/19
6629-1524,6629-1469,5590,Indenting World Enterprises,6629,1469,1524,IWE-0009-45
5198-3634,5198-2056,5591,Kamtec International,5198,2056,3634,10235
5292-3653,5292-,5592,Orient Rental Modarba,5292,,3653,RSRB1912024
6394-3652,6394-,5593,Allied Rental Modaraba,6394,,3652,SINV-013309
6853-3647,6853-2062,5594,PACE Engineering,6853,2062,3647,1662-G
6790-1557,6790-1502,5595,Syscom International,6790,1502,1557,005
5014-3509,5014-2003,5596,Zauq International,5014,2003,3509,20-110
6360-1544,6360-1489,5597,Imran Engineering,6360,1489,1544,161
6248-3478,6248-1982,5598,Pakistan Oxygen ,6248,1982,3478,371554015
6248-3694,6248-,5599,Pakistan Oxygen ,6248,,3694,371554015
6686-3520,6686-2011,5600,Pakistan Oxygen ,6686,2011,3520,371556633
6686-3587,6686-,5601,Pakistan Oxygen ,6686,,3587,371556633
6686-3521,6686-2012,5602,Pakistan Oxygen ,6686,2012,3521,371556634
6686-3588,6686-,5603,Pakistan Oxygen ,6686,,3588,371556634
6686-3500,6686-1997,5604,Pakistan Oxygen ,6686,1997,3500,371556632
6686-3590,6686-,5605,Pakistan Oxygen ,6686,,3590,371556632
6018-3698,6018-,5606,Pakistan Oxygen ,6018,,3698,371553859
5978-3594,5978-,5607,Perac Research & Development Foundation,5978,,3594,19000714
6610-1537,6610-1482,5608,Imran Engineering,6610,1482,1537,160
6367-1563,6367-1508,5609,A. G. Associates,6367,1508,1563,3085
6681-3635,6681-2057,5610,Maxim Pakistan ,6681,2057,3635,MXP787/11
6483-1549,6483-1494,5611,Arsalan Engineering,6483,1494,1549,089
6595-3657,6595-2069,5612,Paradise Engineering,6595,2069,3657,013
6709-1526,6709-1471,5613,Paradise Engineering,6709,1471,1526,012
6711-1542,6711-1487,5614,Wadittar Engineering ,6711,1487,1542,1769
6612-1565,6612-1510,5615,Wadittar Engineering ,6612,1510,1565,1767
6898-1564,6898-1509,5616,Wadittar Engineering ,6898,1509,1564,1766
5241-3693,5241-2086,5617,Paradise Engineering,5241,2086,3693,024
5413-3696,5413-,5618,Telecom Engineering Company,5413,,3696,TEC/SST/121/2019-2020
6924-1583,6924-1528,5619,New Tech system,6924,1528,1583,NTS/300/19-BPPL
6894-1547,6894-1492,5620,Defence Battery ,6894,1492,1547,7313
6899-1546,6899-1491,5621,SnA Motors,6899,1491,1546,13292
6820-3655,6820-2068,5622,Health factory international,6820,2068,3655,200225
6822-1548,6822-1493,5623,Naseer Autos,6822,1493,1548,1900/13706
6892-1545,6892-1490,5624,New Zafcom Tyres Company,6892,1490,1545,9
Credit note-,Credit note-,5625,Javed Chemical ,Credit note,,,21465
6427-,6427-4549,5626,United tubes,6427,4549,,24384
6624-4198,6624-4502,5627,A.M Yousuf,6624,4502,4198,AMY/969
6445-4203,6445-4581,5628,Mansoor Chem,6445,4581,4203,417
109-,109-273,5629,SWS Pvt Ltd,109,273,,M/298
5759-,5759-4564,5630,SWS Pvt Ltd,5759,4564,,M/299
5338-3711,5338-,5631,Paradise Engineering,5338,,3711,026
6355-3712,6355-2094,5632,Micro Scientific Co.,6355,2094,3712,13416
5339-1592,5339-1537,5633,Imran Engineering,5339,1537,1592,162
6220-1576,6220-1521,5634,Wadittar Engineering ,6220,1521,1576,1775
5590-1589,5590-1534,5635,Ammar Electric,5590,1534,1589,2467
6584-3493,6584-1992,5636,Thermoline Pvt Ltd,6584,1992,3493,2020-792
5061-3614,5061-2049,5637,Thermoline Pvt Ltd,5061,2049,3614,2020-911
5061-3428,5061-1954,5638,Thermoline Pvt Ltd,5061,1954,3428,2020-793
